series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CAUR,CAUR,2023-11-03,2023-11-03,Unemployment Rate in California,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:02-05:00,60,
TXUR,TXUR,2023-11-03,2023-11-03,Unemployment Rate in Texas,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:02-05:00,55,
NYUR,NYUR,2023-11-03,2023-11-03,Unemployment Rate in New York,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:03-05:00,52,
FLUR,FLUR,2023-11-03,2023-11-03,Unemployment Rate in Florida,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:04-05:00,50,
OHUR,OHUR,2023-11-03,2023-11-03,Unemployment Rate in Ohio,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:03-05:00,40,
KYUR,KYUR,2023-11-03,2023-11-03,Unemployment Rate in Kentucky,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:10-05:00,27,
ALUR,ALUR,2023-11-03,2023-11-03,Unemployment Rate in Alabama,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:04-05:00,38,
MIUR,MIUR,2023-11-03,2023-11-03,Unemployment Rate in Michigan,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:05-05:00,36,
PAUR,PAUR,2023-11-03,2023-11-03,Unemployment Rate in Pennsylvania,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:03-05:00,37,
ILUR,ILUR,2023-11-03,2023-11-03,Unemployment Rate in Illinois,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:09-05:00,28,
COUR,COUR,2023-11-03,2023-11-03,Unemployment Rate in Colorado,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:05-05:00,35,
MAUR,MAUR,2023-11-03,2023-11-03,Unemployment Rate in Massachusetts,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:06-05:00,35,
NCUR,NCUR,2023-11-03,2023-11-03,Unemployment Rate in North Carolina,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:03-05:00,33,
GAUR,GAUR,2023-11-03,2023-11-03,Unemployment Rate in Georgia,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:08-05:00,34,
TNUR,TNUR,2023-11-03,2023-11-03,Unemployment Rate in Tennessee,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:05-05:00,33,
MNUR,MNUR,2023-11-03,2023-11-03,Unemployment Rate in Minnesota,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:10-05:00,29,
WIUR,WIUR,2023-11-03,2023-11-03,Unemployment Rate in Wisconsin,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:06-05:00,32,
VAUR,VAUR,2023-11-03,2023-11-03,Unemployment Rate in Virginia,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:04-05:00,32,
WAUR,WAUR,2023-11-03,2023-11-03,Unemployment Rate in Washington,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:04-05:00,30,
AKUR,AKUR,2023-11-03,2023-11-03,Unemployment Rate in Alaska,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:08-05:00,30,
AZUR,AZUR,2023-11-03,2023-11-03,Unemployment Rate in Arizona,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:05-05:00,29,
ORUR,ORUR,2023-11-03,2023-11-03,Unemployment Rate in Oregon,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:04-05:00,29,
MOUR,MOUR,2023-11-03,2023-11-03,Unemployment Rate in Missouri,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:08-05:00,28,
ARUR,ARUR,2023-11-03,2023-11-03,Unemployment Rate in Arkansas,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:08-05:00,28,
NJUR,NJUR,2023-11-03,2023-11-03,Unemployment Rate in New Jersey,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:11-05:00,17,
INUR,INUR,2023-11-03,2023-11-03,Unemployment Rate in Indiana,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:09-05:00,27,
NDUR,NDUR,2023-11-03,2023-11-03,Unemployment Rate in North Dakota,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:07-05:00,27,
NMUR,NMUR,2023-11-03,2023-11-03,Unemployment Rate in New Mexico,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:10-05:00,26,
UTUR,UTUR,2023-11-03,2023-11-03,Unemployment Rate in Utah,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:07-05:00,25,
SCUR,SCUR,2023-11-03,2023-11-03,Unemployment Rate in South Carolina,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:05-05:00,26,
IAUR,IAUR,2023-11-03,2023-11-03,Unemployment Rate in Iowa,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:07-05:00,25,
RIUR,RIUR,2023-11-03,2023-11-03,Unemployment Rate in Rhode Island,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:08-05:00,24,
LASMT261982000000003,LASMT261982000000003,2023-11-03,2023-11-03,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)",1990-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-11-01 10:25:02-05:00,4,
WVUR,WVUR,2023-11-03,2023-11-03,Unemployment Rate in West Virginia,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:06-05:00,24,
OKUR,OKUR,2023-11-03,2023-11-03,Unemployment Rate in Oklahoma,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:07-05:00,23,
MDUR,MDUR,2023-11-03,2023-11-03,Unemployment Rate in Maryland,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:06-05:00,22,
HIUR,HIUR,2023-11-03,2023-11-03,Unemployment Rate in Hawaii,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:09-05:00,19,
CTUR,CTUR,2023-11-03,2023-11-03,Unemployment Rate in Connecticut,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:10-05:00,22,
NVUR,NVUR,2023-11-03,2023-11-03,Unemployment Rate in Nevada,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:11-05:00,22,
LAUR,LAUR,2023-11-03,2023-11-03,Unemployment Rate in Louisiana,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:10-05:00,21,
MSUR,MSUR,2023-11-03,2023-11-03,Unemployment Rate in Mississippi,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:11-05:00,20,
KSUR,KSUR,2023-11-03,2023-11-03,Unemployment Rate in Kansas,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:13-05:00,18,
DCUR,DCUR,2023-11-03,2023-11-03,Unemployment Rate in the District of Columbia,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:11-05:00,18,
NHUR,NHUR,2023-11-03,2023-11-03,Unemployment Rate in New Hampshire,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:13-05:00,17,
NEUR,NEUR,2023-11-03,2023-11-03,Unemployment Rate in Nebraska,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:13-05:00,17,
MTUR,MTUR,2023-11-03,2023-11-03,Unemployment Rate in Montana,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:11-05:00,18,
WYUR,WYUR,2023-11-03,2023-11-03,Unemployment Rate in Wyoming,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:08-05:00,18,
PRUR,PRUR,2023-11-03,2023-11-03,Unemployment Rate in Puerto Rico,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:08-05:00,11,
LASMT391746000000003,LASMT391746000000003,2023-11-03,2023-11-03,"Unemployment Rate in Cleveland-Elyria, OH (MSA)",1990-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-11-01 10:19:02-05:00,7,
SDUR,SDUR,2023-11-03,2023-11-03,Unemployment Rate in South Dakota,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:08-05:00,14,
MEUR,MEUR,2023-11-03,2023-11-03,Unemployment Rate in Maine,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:12-05:00,15,
IDUR,IDUR,2023-11-03,2023-11-03,Unemployment Rate in Idaho,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:12-05:00,14,
DEUR,DEUR,2023-11-03,2023-11-03,Unemployment Rate in Delaware,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:53:12-05:00,14,
CMWRUR,CMWRUR,2023-11-03,2023-11-03,Unemployment Rate in Midwest Census Region,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:09-05:00,13,
VTUR,VTUR,2023-11-03,2023-11-03,Unemployment Rate in Vermont,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:09-05:00,13,
CSOUUR,CSOUUR,2023-11-03,2023-11-03,Unemployment Rate in South Census Region,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:10-05:00,9,
CNERUR,CNERUR,2023-11-03,2023-11-03,Unemployment Rate in Northeast Census Region,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:15-05:00,2,
CWSTUR,CWSTUR,2023-11-03,2023-11-03,Unemployment Rate in West Census Region,1976-01-01,2023-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-10-24 08:52:12-05:00,7,
BEASEUR,BEASEUR,2023-11-03,2023-11-03,Unemployment Rate in Southeast BEA Region (DISCONTINUED),1990-01-01,2015-12-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2016-01-26 12:27:48-06:00,4,
